elapsed_s,relative_heading_deg,centered_heading_deg,longitudinal_delta_v_m_s,lateral_delta_v_m_s
189.0,233.55655499999935,215.0156549999993,-258.9826430519994,-319.81554853149987
189.05,233.7796599999994,215.23385499999935,-259.0184863577494,-319.9351896614999
189.1,234.00661249999933,215.45590249999927,-259.0533980317494,-320.04750032062486
189.15,234.2383199999994,215.68270499999932,-259.1161360751244,-320.1560844527499
189.2,234.4829424999993,215.92242249999924,-259.1787270187494,-320.27550493312486
189.25,234.72386499999936,216.1584399999993,-259.2218517621244,-320.3981125747499
189.3,234.96084749999943,216.39051749999936,-259.25830798349944,-320.51008000112495
189.35,235.21251749999934,216.6372824999993,-259.2998881794994,-320.6194731818749
189.4,235.46674249999938,216.88660249999936,-259.3542660537494,-320.72972444449994
189.45,235.7149899999993,217.12994499999928,-259.4079084292494,-320.8419860703749
189.5,235.96277249999935,217.37282249999933,-259.4512047889994,-320.9592736043749
189.55,236.2042324999994,217.6093774999994,-259.4996741566244,-321.07447722524995
189.6,236.43766999999931,217.8379099999993,-259.5676097244994,-321.18803823224994
189.65,236.66758249999936,218.06291749999937,-259.6523391804994,-321.30772839549996
189.7,236.89244499999927,218.2828749999993,-259.73807381812435,-321.43185606787495
189.75,237.10302249999933,218.48854749999936,-259.81549731987434,-321.553409494625
189.8,237.29857749999937,218.6791974999994,-259.88257480587436,-321.672952558125
189.85,237.4822999999993,218.85801499999934,-259.94852452712433,-321.79433436849996
189.9,237.64984249999932,219.0206524999994,-260.02641384474936,-321.92098725324996
189.95,237.79727999999926,219.16318499999934,-260.11808150562433,-322.0533279949999
190.0,237.9319849999993,219.29298499999936,-260.20935690049936,-322.18571776999994
190.05,238.07120749999933,219.4273024999994,-260.28055317949935,-322.309404143125
190.1,238.22495499999928,219.57614499999934,-260.3420899082493,-322.43100660312496
190.15,238.3935199999993,219.7398049999994,-260.41210938924934,-322.559718884375
190.2,238.57994249999925,219.92132249999932,-260.48355083449934,-322.69012281274996
190.25,238.78200749999928,220.11848249999937,-260.54626436124937,-322.8173640965
190.3,238.98342249999934,220.31499249999942,-260.6120179494994,-322.9424969505
190.35,239.18461749999926,220.51128249999934,-260.68757818774935,-323.06971371762495
190.4,239.39957249999932,220.7213324999994,-260.75887253324936,-323.19977441325
190.45,239.62188999999924,220.93874499999933,-260.8282300653743,-323.32968800912494
190.5,239.8505224999993,221.16247249999938,-260.89479270224933,-323.45820415737495
190.55,240.09565999999936,221.40270499999943,-260.95375518537435,-323.585543507625
190.6,240.35341499999927,221.65555499999934,-261.01531643074935,-323.71337319037497
190.65,240.61735499999932,221.9145899999994,-261.09205346699935,-323.85162243875
190.7,240.88119249999923,222.1735224999993,-261.17624355724934,-323.99281368212496
190.75,241.14301499999928,222.43043999999938,-261.25293156024935,-324.1232176105
190.8,241.41159999999934,222.69411999999943,-261.3227058749994,-324.252763457
190.85,241.69424249999923,222.97185749999935,-261.3907395093743,-324.3879971605
190.9,241.9857899999993,223.2584999999994,-261.46779526174936,-324.52943357012504
190.95,242.2716249999992,223.5394299999993,-261.5507104874993,-324.67312550925
191.0,242.54975499999927,223.81265499999935,-261.63063468499934,-324.81218380625
191.05,242.82536499999932,224.0833599999994,-261.7040129436244,-324.943666466125
191.1,243.09918749999923,224.3522774999993,-261.78131386224936,-325.071349049125
191.15,243.3634349999993,224.61161999999936,-261.86263550737436,-325.193221192
191.2,243.59446499999922,224.83774499999927,-261.9344447019993,-325.302467273
191.25,243.78502749999927,225.02340249999932,-262.01206433674935,-325.409286208125
191.3,243.9421074999993,225.17557749999935,-262.10405071374936,-325.51676709212506
191.35,244.05125749999928,225.2798224999993,-262.2057701908743,-325.614711009
191.4,244.0978674999993,225.32152749999932,-262.30717095187435,-325.69988176425005
191.45,244.0882224999993,225.30697749999933,-262.40545810149933,-325.788705496625
191.5,244.0448824999993,225.25873249999933,-262.51639582962434,-325.89152822187503
191.55,243.98652749999928,225.1954724999993,-262.6358898598744,-325.99677809300005
191.6,243.91129249999932,225.11533249999934,-262.74650887187437,-326.09151033200004
191.65,243.8243724999993,225.0235074999993,-262.8503612953744,-326.17967211550007
191.7,243.74509499999934,224.93932499999934,-262.95276723799935,-326.27528695300003
191.75,243.68632749999932,224.87565249999932,-263.0437239167494,-326.38242460425005
191.8,243.64459749999932,224.8290174999993,-263.1099678374994,-326.4927739333751
191.85,243.61398999999932,224.79350499999933,-263.1587804378744,-326.59625860750003
191.9,243.59294749999933,224.76755749999933,-263.2215184812494,-326.70011103100006
191.95,243.57517249999933,224.74487749999935,-263.3005845968744,-326.80717513237505
192.0,243.57525499999932,224.74005499999936,-263.3549134378744,-326.9122043538751
192.05,243.61448249999933,224.77437749999936,-263.38085202712443,-327.02860928937514
